Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,User CTCSS,Tx Power,Skip,Step,Clock Shift,Comment
1,438.57500,431.57500,7.00 MHz,Minus,FM,VK5RLX,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
2,147.22500,147.82500,600 kHz,Plus,FM,VK5RDW,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
3,147.32500,147.92500,600 kHz,Plus,FM,VK5RLD,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
4,438.40000,431.40000,7.00 MHz,Minus,FM,VK5RPA,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
5,438.20000,431.20000,7.00 MHz,Minus,FM,VK5RMK,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
6,146.75000,146.15000,600 kHz,Minus,FM,VK5RWR 2,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
7,438.75000,431.75000,7.00 MHz,Minus,FM,VK5RWR70,Large,T Sql,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
98,146.50000,146.50000, ,Simplex,FM,CALL 2,Large,None,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
99,439.00000,439.00000, ,Simplex,FM,CALL 70,Large,None,91.5 Hz,023,1500 Hz,High,Select,12.5 kHz,Off,
100,145.17500,145.17500, ,Simplex,FM,APRS,Large,None,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
101,144.92500,145.52500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
102,144.93750,145.53750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
103,144.95000,145.55000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
104,144.96250,145.56250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
105,144.97500,145.57500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
106,144.98750,145.58750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
107,145.00000,145.60000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
108,145.01250,145.61250,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
109,145.02500,145.62500,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
110,145.03750,145.63750,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
111,145.05000,145.65000,600 kHz,Plus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
112,146.62500,146.02500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
113,146.63750,146.03750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
114,146.65000,146.05000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
115,146.66250,146.06250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
116,146.67500,146.07500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
117,146.68750,146.08750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
118,146.70000,146.10000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
119,146.71250,146.11250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
120,146.72500,146.12500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
121,146.73750,146.13750,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
122,146.75000,146.15000,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
123,146.76250,146.16250,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
124,146.77500,146.17500,600 kHz,Minus,FM,0.6Split,Small,Tone,91.5 Hz,023,1500 Hz,High,Off,12.5 kHz,Off,
