Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,144.925000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
1,,144.937500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
2,,144.950000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
3,,144.962500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
4,,144.975000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
5,,144.987500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
6,,145.000000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
7,,145.012500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
8,,145.025000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
9,,145.037500,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
10,,145.050000,+,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
11,,146.625000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
12,,146.637500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
13,,146.650000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
14,,146.662500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
15,,146.675000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
16,,146.687500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
17,,146.700000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
18,,146.712500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
19,,146.725000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
20,,146.737500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
21,,146.750000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
22,,146.762500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
23,,146.775000,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
24,,146.787500,-,0.600000,Tone,91.5,91.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
