Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,User CTCSS,Tx Power,Skip,Step,Attenuator,S-Meter Squelch,Bell,Vibrator,Half Dev,Clock Shift,BANK 1,BANK 2,BANK 3,BANK 4,BANK 5,BANK 6,BANK 7,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment
1,144.92500,145.52500,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,0
2,144.93750,145.53750,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,1
3,144.95000,145.55000,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,2
4,144.96250,145.56250,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,3
5,144.97500,145.57500,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,4
6,144.98750,145.58750,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,5
7,145.00000,145.60000,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,6
8,145.01250,145.61250,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,7
9,145.02500,145.62500,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,8
10,145.03750,145.63750,600 kHz,Plus,FM,,Tone,91.5 Hz,023,RN-TN,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,9
